# Kaggle's tag vocabulary, from Meta Kaggle (kaggle/meta-kaggle, Tags.csv).
# A keyword outside this list is silently dropped at push time: the CLI prints
# 'not valid tags and could not be added' and the upload otherwise succeeds.
# Refresh: kaggle datasets download kaggle/meta-kaggle -f Tags.csv --unzip
name	slug	kernel_count	dataset_count
inception-b	inception-b	0	0
inception-c	inception-c	0	0
inception-resnet-v2-a	inception-resnet-v2-a	0	1
inception-resnet-v2-b	inception-resnet-v2-b	0	0
data type	data-type	0	40
technique	analysis	0	2
audience	audience	0	3
inception-resnet-v2-c	inception-resnet-v2-c	0	0
resnetv2	resnetv2	0	1
resnetv1	resnetv1	0	0
inverted residual block	inverted-residual-block	0	0
wide residual block	wide-residual-block	0	0
tvn-2	tvn-2	0	0
chuang	chuang	0	0
kalaallisut	kalaallisut	0	0
herero	herero	0	0
hausa	hausa	0	27
haitian creole	haitian-creole	0	0
haitian	haitian	0	0
guarani	guarani	0	3
greenlandic	greenlandic	0	0
ganda	ganda	0	1
zhuang	zhuang	0	0
galician	galician	0	2
scottish gaelic	scottish-gaelic	0	1
gaelic	gaelic	0	0
fulah	fulah	0	0
western frisian	western-frisian	0	0
faroese	faroese	0	0
hiri motu	hiri-motu	0	0
icelandic	icelandic	0	1
ido	ido	0	1
interlingua	interlingua	0	1
interlingue, occidental	interlingue-occidental	0	3
inuktitut	inuktitut	0	0
inupiaq	inupiaq	0	0
resnet101x3-v2	resnet101x3-v2	0	0
kanuri	kanuri	0	0
kikuyu	kikuyu	0	0
gikuyu	gikuyu	0	0
kinyarwanda	kinyarwanda	0	15
kirghiz	kirghiz	0	3
kyrgyz	kyrgyz	0	2
komi	komi	0	0
kongo	kongo	0	0
kuanyama	kuanyama	0	0
esperanto	esperanto	0	0
dzongkha	dzongkha	0	1
maldivian	maldivian	0	0
breton	breton	0	0
tvn-mobile-1	tvn-mobile-1	0	1
tvn-1	tvn-1	0	1
tsm resnet50x2	tsm-resnet50x2	0	0
tridentnet	tridentnet	0	0
wae	wae	0	0
tacotron 2	tacotron-2	0	2
swivel	swivel	0	0
avestan	avestan	0	0
aymara	aymara	0	3
bambara	bambara	0	16
bashkir	bashkir	0	0
ssd mobilenet v2	ssd-mobilenet-v2	0	1
bislama	bislama	0	0
bosnian	bosnian	0	3
bulgarian	bulgarian	0	15
dhivehi	dhivehi	0	0
catalan	catalan	0	3
valencian	valencian	0	0
chamorro	chamorro	0	0
chechen	chechen	0	1
chichewa	chichewa	0	20
chewa	chewa	0	0
nyanja	nyanja	0	0
ssd mobilenet v1	ssd-mobilenet-v1	0	0
church slavic	church-slavic	0	0
old bulgarian	old-bulgarian	0	0
chuvash	chuvash	0	0
corsican	corsican	0	0
cree	cree	0	0
divehi	divehi	0	1
kwanyama	kwanyama	0	0
kurdish	kurdish	0	7
lao	lao	0	3
tatar	tatar	0	3
northern sami	northern-sami	0	0
samoan	samoan	0	0
sango	sango	0	0
sardinian	sardinian	0	0
tvn-3	tvn-3	0	0
sinhalese	sinhalese	0	4
slovak	slovak	0	4
slovenian	slovenian	0	3
somali	somali	0	22
southern sotho	southern-sotho	0	0
sundanese	sundanese	0	3
swati	swati	0	0
tahitian	tahitian	0	0
tajik	tajik	0	0
tibetan	tibetan	0	2
rundi	rundi	0	0
tonga	tonga	0	0
tsonga	tsonga	0	18
tswana	tswana	0	1
nnclr	nnclr	0	0
turkmen	turkmen	0	0
twi	twi	0	27
uighur	uighur	0	0
uyghur	uyghur	0	1
nasnet-a (large)	nasnet-a-large	0	2
volapük	volapük	0	0
walloon	walloon	0	0
wolof	wolof	0	4
xhosa	xhosa	0	17
yoruba	yoruba	0	27
reqa	reqa	0	0
romansh	romansh	0	0
limburgan	limburgan	0	0
north ndebele	north-ndebele	0	0
limburgish	limburgish	0	0
limburger	limburger	0	0
lingala	lingala	0	17
luba-katanga	luba-katanga	0	0
luxembourgish	luxembourgish	0	4
letzeburgesch	letzeburgesch	0	0
macedonian	macedonian	0	0
maltese	maltese	0	0
manx	manx	0	0
maori	maori	0	0
marshallese	marshallese	0	0
nauru	nauru	0	1
navajo	navajo	0	0
navaho	navaho	0	0
south ndebele	south-ndebele	0	0
moldavian	moldavian	0	1
ndonga	ndonga	0	0
norwegian bokmål	norwegian-bokmål	0	1
norwegian nynorsk	norwegian-nynorsk	0	1
sichuan yi	sichuan-yi	0	0
nuosu	nuosu	0	0
occitan	occitan	0	0
ojibwa	ojibwa	0	0
oriya	oriya	0	3
ossetian	ossetian	0	0
ossetic	ossetic	0	0
pali	pali	0	1
resnet v1 200	resnet-v1-200	0	0
panjabi	panjabi	0	3
